capture_index,landing_page_url,advertiser,representative_ad_library_id,slug,viewport_width,viewport_height,page_title,page_height_px,screen_count,capture_status,screenshots_dir,pdf_path,error
1,https://www.internetacademy.co.jp/lp/ai_claude_code.html?utm_source=meta&utm_medium=sns&utm_campaign=meta#argument=llmLuQTm,インターネット・アカデミー,2288547545231743,lp-01-internetacademy-co-jp-2288547545231743,1440,900,AI人材育成研修ならインターネット・アカデミー【法人向けDX・AI人材育成】,9838,11,complete,output/lp-screens/lp-01-internetacademy-co-jp-2288547545231743,output/lp-pdfs/lp-01-internetacademy-co-jp-2288547545231743.pdf,
2,https://www.internetacademy.co.jp/lp/ai_claude_cowork.html?utm_source=meta&utm_medium=sns&utm_campaign=meta#argument=llmLuQTm,インターネット・アカデミー,2454343718324017,lp-02-internetacademy-co-jp-2454343718324017,1440,900,AI人材育成研修ならインターネット・アカデミー【法人向けDX・AI人材育成】,10120,12,complete,output/lp-screens/lp-02-internetacademy-co-jp-2454343718324017,output/lp-pdfs/lp-02-internetacademy-co-jp-2454343718324017.pdf,
3,https://www.city.suzaka.nagano.jp/soshiki/5030/8396.html,須坂市中小企業dx支援事業,1559991958855138,lp-03-city-suzaka-nagano-jp-1559991958855138,1440,900,令和8年度 須坂市中小企業DX推進支援事業／須坂市ホームページ - 長野県須坂市,6085,7,complete,output/lp-screens/lp-03-city-suzaka-nagano-jp-1559991958855138,output/lp-pdfs/lp-03-city-suzaka-nagano-jp-1559991958855138.pdf,
4,https://ex.ipros.jp/expo/iprosai/lp/business-challenges/4/?rg_src=20260624_iprosai2026summer_bc_prcpc_meta_29,株式会社イプロス,1569407884599569,lp-04-ex-ipros-jp-1569407884599569,1440,900,第1回 AI/DX 経営課題の解決展 | イプロスAI 2026 夏,15052,17,complete,output/lp-screens/lp-04-ex-ipros-jp-1569407884599569,output/lp-pdfs/lp-04-ex-ipros-jp-1569407884599569.pdf,
5,https://ex.ipros.jp/expo/iprosai/lp/business-challenges/2/?rg_src=20260716_iprosai2026summer_bc_prcpc_meta_14,株式会社イプロス,2258736647999606,lp-05-ex-ipros-jp-2258736647999606,1440,900,第1回 AI/DX 経営課題の解決展 | イプロスAI 2026 夏,15095,17,complete,output/lp-screens/lp-05-ex-ipros-jp-2258736647999606,output/lp-pdfs/lp-05-ex-ipros-jp-2258736647999606.pdf,
6,https://www.mjs.co.jp/seminar/feature/mve2026/?utm_source=facebook&utm_medium=cpm&utm_campaign=metaversefair_202607,株式会社ミロク情報サービス,4503271623329904,lp-06-mjs-co-jp-4503271623329904,1440,900,バーチャル展示会「MJS VIRTUAL EXHIBITION 2026」～経営課題の街を歩こう。解決策が、きっと見つかる。～ | セミナー特集・イベント | セミナー・研修会 | 株式会社ミロク情報サービス,12559,14,complete,output/lp-screens/lp-06-mjs-co-jp-4503271623329904,output/lp-pdfs/lp-06-mjs-co-jp-4503271623329904.pdf,
7,https://reskilling.mhlw.go.jp/event/kanto01/,中小企業リスキリング支援事業（厚生労働省）,2073251810250721,lp-07-reskilling-mhlw-go-jp-2073251810250721,1440,900,＜関東＞中小企業のためのAI・DX推進人材育成セミナー | 厚生労働省 中小企業リスキリング支援事業,2921,4,complete,output/lp-screens/lp-07-reskilling-mhlw-go-jp-2073251810250721,output/lp-pdfs/lp-07-reskilling-mhlw-go-jp-2073251810250721.pdf,
8,https://reskilling.mhlw.go.jp/event/kyushu-okinawa01/,中小企業リスキリング支援事業（厚生労働省）,2087045882025846,lp-08-reskilling-mhlw-go-jp-2087045882025846,1440,900,＜九州・沖縄＞中小企業のためのAI・DX推進人材育成セミナー | 厚生労働省 中小企業リスキリング支援事業,3243,4,complete,output/lp-screens/lp-08-reskilling-mhlw-go-jp-2087045882025846,output/lp-pdfs/lp-08-reskilling-mhlw-go-jp-2087045882025846.pdf,
9,https://reskilling.mhlw.go.jp/event/kansai01/,中小企業リスキリング支援事業（厚生労働省）,897504522676239,lp-09-reskilling-mhlw-go-jp-897504522676239,1440,900,＜関西＞中小企業のためのAI・DX推進人材育成セミナー | 厚生労働省 中小企業リスキリング支援事業,3243,4,complete,output/lp-screens/lp-09-reskilling-mhlw-go-jp-897504522676239,output/lp-pdfs/lp-09-reskilling-mhlw-go-jp-897504522676239.pdf,
10,https://digitalsokushin.pref.aichi.jp/lp/202607-okazaki/,愛知県中小企業デジタル人材育成促進事業,1942949306556700,lp-10-digitalsokushin-pref-aichi-jp-1942949306556700,1440,900,AI＆デジタル活用法ワークショップ【岡崎会場】 | 愛知県中小企業経営者等デジタル人材育成促進事業,7194,8,complete,output/lp-screens/lp-10-digitalsokushin-pref-aichi-jp-1942949306556700,output/lp-pdfs/lp-10-digitalsokushin-pref-aichi-jp-1942949306556700.pdf,
