captured_at,search_term,advertiser,ad_library_id,started_running,ad_copy,cta,landing_page_url,ad_library_url,score,first_view_status,first_view_h1,first_view_cta,first_view_proof,notes,lp_capture_status,lp_page_title,lp_page_height_px,lp_screen_count,lp_screenshots_dir,lp_pdf_path,lp_capture_error
2026-07-28,生成AI 業務改善,インターネット・アカデミー,2288547545231743,2026/05/26,【生成AI研修】AIのビジネス活用で業務効率80%アップを実現！ 💡実務直結型のAI研修だから、貴社の事業課題が解決できる ✅データ分析・リサーチ業務が30分→1分に短縮できる ✅実務直結のAI研修で業務改善・生産性向上が実現 ✅研修費の最大75%を助成金でまかなえる ＃インターネット・アカデミー ＃生成AI研修,Watch More,https://www.internetacademy.co.jp/lp/ai_claude_code.html?utm_source=meta&utm_medium=sns&utm_campaign=meta#argument=llmLuQTm,https://www.facebook.com/ads/library/?id=2288547545231743,21,rendered_sample,eラーニングで終わらない、現場で使えるAI研修／開発スピードが変わる、Claude Code研修,まずは無料相談する／とりあえず無料相談,"導入実績1,200社、業務効率80%アップ、助成金最大75%",広告ライブラリからLPへ遷移し、DOMでファーストビューを確認したサンプル。,complete,AI人材育成研修ならインターネット・アカデミー【法人向けDX・AI人材育成】,9838,11,output/lp-screens/lp-01-internetacademy-co-jp-2288547545231743,output/lp-pdfs/lp-01-internetacademy-co-jp-2288547545231743.pdf,
2026-07-28,生成AI 業務改善,インターネット・アカデミー,2454343718324017,2026/05/26,【生成AI研修】AIのビジネス活用で業務効率80%アップを実現！ 💡実務直結型のAI研修だから、貴社の事業課題が解決できる ✅データ分析・リサーチ業務が30分→1分に短縮できる ✅実務直結のAI研修で業務改善・生産性向上が実現 ✅研修費の最大75%を助成金でまかなえる ＃インターネット・アカデミー ＃生成AI研修,Watch More,https://www.internetacademy.co.jp/lp/ai_claude_cowork.html?utm_source=meta&utm_medium=sns&utm_campaign=meta#argument=llmLuQTm,https://www.facebook.com/ads/library/?id=2454343718324017,21,not_rendered_batch,,,,Meta Ad Libraryの広告情報。成果指標（CV/CPA）は広告ライブラリから取得不可。,complete,AI人材育成研修ならインターネット・アカデミー【法人向けDX・AI人材育成】,10120,12,output/lp-screens/lp-02-internetacademy-co-jp-2454343718324017,output/lp-pdfs/lp-02-internetacademy-co-jp-2454343718324017.pdf,
2026-07-28,AI 活用 診断,須坂市中小企業dx支援事業,1559991958855138,2026/07/01,＼ 須坂市内の中小企業・小規模事業者限定 ／ 人手不足でも対応できる経営へ！入力・転記のムダ、手作業中心の業務をスマートに効率化しませんか？ 『須坂市中小企業DX推進支援事業』なら… ✅️まずは「DX診断」で自社の課題やデジタルレベルを無料で見える化！ ✅️「AI体験型セミナー」で、今日から使えるAI活用法をワークショップで体験 ✅️6社限定で専門家が約5か月間、【無料】伴走支援！ 「何から手をつければいいか分からない」という方も大歓迎です。 まずは無料のAI体験型セミナーへ！ ・日時：8月6日（木）14:00〜16:00 ・会場：須坂駅前ビル シルキー3階 第1ホール または オンライン（ライブ配信） ・申込締切：8月5日（水） ・参加費：無料 特別企画として、前年度参加企業による成功体験談も！ デジタルの力を借りて、一歩進んだ経営へ。 詳細・お申し込みはこちらから！,詳細を表示,https://www.city.suzaka.nagano.jp/soshiki/5030/8396.html,https://www.facebook.com/ads/library/?id=1559991958855138,20,not_rendered_batch,,,,Meta Ad Libraryの広告情報。成果指標（CV/CPA）は広告ライブラリから取得不可。,complete,令和8年度 須坂市中小企業DX推進支援事業／須坂市ホームページ - 長野県須坂市,6085,7,output/lp-screens/lp-03-city-suzaka-nagano-jp-1559991958855138,output/lp-pdfs/lp-03-city-suzaka-nagano-jp-1559991958855138.pdf,
2026-07-28,AI 活用 診断,須坂市中小企業dx支援事業,1640534337033383,2026/07/01,＼ 須坂市内の中小企業・小規模事業者限定 ／ 人手不足でも対応できる経営へ！入力・転記のムダ、手作業中心の業務をスマートに効率化しませんか？ 『須坂市中小企業DX推進支援事業』なら… ✅️まずは「DX診断」で自社の課題やデジタルレベルを無料で見える化！ ✅️「AI体験型セミナー」で、今日から使えるAI活用法をワークショップで体験 ✅️6社限定で専門家が約5か月間、【無料】伴走支援！ 「何から手をつければいいか分からない」という方も大歓迎です。 まずは無料のAI体験型セミナーへ！ ・日時：8月6日（木）14:00〜16:00 ・会場：須坂駅前ビル シルキー3階 第1ホール または オンライン（ライブ配信） ・申込締切：8月5日（水） ・参加費：無料 特別企画として、前年度参加企業による成功体験談も！ デジタルの力を借りて、一歩進んだ経営へ。 詳細・お申し込みはこちらから！,詳細を表示,https://www.city.suzaka.nagano.jp/soshiki/5030/8396.html,https://www.facebook.com/ads/library/?id=1640534337033383,20,not_rendered_batch,,,,Meta Ad Libraryの広告情報。成果指標（CV/CPA）は広告ライブラリから取得不可。,complete,令和8年度 須坂市中小企業DX推進支援事業／須坂市ホームページ - 長野県須坂市,6085,7,output/lp-screens/lp-03-city-suzaka-nagano-jp-1559991958855138,output/lp-pdfs/lp-03-city-suzaka-nagano-jp-1559991958855138.pdf,
2026-07-28,AI 活用 診断,須坂市中小企業dx支援事業,27709793601979453,2026/07/01,＼ 須坂市内の中小企業・小規模事業者限定 ／ 人手不足でも対応できる経営へ！入力・転記のムダ、手作業中心の業務をスマートに効率化しませんか？ 『須坂市中小企業DX推進支援事業』なら… ✅️まずは「DX診断」で自社の課題やデジタルレベルを無料で見える化！ ✅️「AI体験型セミナー」で、今日から使えるAI活用法をワークショップで体験 ✅️6社限定で専門家が約5か月間、【無料】伴走支援！ 「何から手をつければいいか分からない」という方も大歓迎です。 まずは無料のAI体験型セミナーへ！ ・日時：8月6日（木）14:00〜16:00 ・会場：須坂駅前ビル シルキー3階 第1ホール または オンライン（ライブ配信） ・申込締切：8月5日（水） ・参加費：無料 特別企画として、前年度参加企業による成功体験談も！ デジタルの力を借りて、一歩進んだ経営へ。 詳細・お申し込みはこちらから！,詳細を表示,https://www.city.suzaka.nagano.jp/soshiki/5030/8396.html,https://www.facebook.com/ads/library/?id=27709793601979453,20,not_rendered_batch,,,,Meta Ad Libraryの広告情報。成果指標（CV/CPA）は広告ライブラリから取得不可。,complete,令和8年度 須坂市中小企業DX推進支援事業／須坂市ホームページ - 長野県須坂市,6085,7,output/lp-screens/lp-03-city-suzaka-nagano-jp-1559991958855138,output/lp-pdfs/lp-03-city-suzaka-nagano-jp-1559991958855138.pdf,
2026-07-28,生成AI 業務改善,株式会社イプロス,1569407884599569,2026/07/08,人手不足、業務効率化、売上拡大。 中小企業が抱える経営課題に、AI/DXという新たな選択肢を。 「AI/DX 経営課題の解決展」では、業務効率化・顧客対応・営業支援・バックオフィス改善など、経営課題に役立つAI/DXソリューションを比較できます。 AI活用や経営改善のヒントが得られるセミナーも開催。 自社に合うAI活用の第一歩を、会場で見つけてみませんか？,,https://ex.ipros.jp/expo/iprosai/lp/business-challenges/4/?rg_src=20260624_iprosai2026summer_bc_prcpc_meta_29,https://www.facebook.com/ads/library/?id=1569407884599569,19,not_rendered_batch,,,,Meta Ad Libraryの広告情報。成果指標（CV/CPA）は広告ライブラリから取得不可。,complete,第1回 AI/DX 経営課題の解決展 | イプロスAI 2026 夏,15052,17,output/lp-screens/lp-04-ex-ipros-jp-1569407884599569,output/lp-pdfs/lp-04-ex-ipros-jp-1569407884599569.pdf,
2026-07-28,生成AI 業務改善,株式会社イプロス,2258736647999606,2026/07/22,AIを活用して、業務効率化や組織変革を進めたい。 でも、「何から見直すべきか」「自社に合う活用法は何か」が見えていない方へ。 イプロスAI 2026 夏では、AI導入による業務変革や組織内活用のリアルな事例、経営課題の解決に役立つAI／DXソリューションが集結！ すかいらーく、NTTドコモ、博報堂ほか、企業のAI活用事例を学べます。 ✅ AIを活用した業務改善の事例を学べる ✅ 自社に合うAI／DX製品を比較できる ✅ 導入や活用方法を直接相談できる,,https://ex.ipros.jp/expo/iprosai/lp/business-challenges/2/?rg_src=20260716_iprosai2026summer_bc_prcpc_meta_14,https://www.facebook.com/ads/library/?id=2258736647999606,19,not_rendered_batch,,,,Meta Ad Libraryの広告情報。成果指標（CV/CPA）は広告ライブラリから取得不可。,complete,第1回 AI/DX 経営課題の解決展 | イプロスAI 2026 夏,15095,17,output/lp-screens/lp-05-ex-ipros-jp-2258736647999606,output/lp-pdfs/lp-05-ex-ipros-jp-2258736647999606.pdf,
2026-07-28,生成AI 中小企業,株式会社ミロク情報サービス,1041304468483910,2026/07/24,【中小企業・会計事務所の方必見！】 参加無料！MJSがお届けするバーチャル展示会 経営課題の解決策とAI活用のヒントを一挙にご紹介。 ✅8/26(水)「生成AI・DXが税務・会計業務にもたらすインパクト」講師：税経システム研究所客員講師 外波達也 氏 ✅9/2(水)「AI時代の価値創造経営」講師：中央 大学大学院教授 遠山亮子 氏 課題整理からソリューション体験まで、街を歩く ように自分のペースで解決策が見つかる 「MJS VIRTUAL EXHIBITION 2026」を開催！ 今すぐ、無料で事前登録を。,Learn More,https://www.mjs.co.jp/seminar/feature/mve2026/?utm_source=facebook&utm_medium=cpm&utm_campaign=metaversefair_202607,https://www.facebook.com/ads/library/?id=1041304468483910,19,not_rendered_batch,,,,Meta Ad Libraryの広告情報。成果指標（CV/CPA）は広告ライブラリから取得不可。,complete,バーチャル展示会「MJS VIRTUAL EXHIBITION 2026」～経営課題の街を歩こう。解決策が、きっと見つかる。～ | セミナー特集・イベント | セミナー・研修会 | 株式会社ミロク情報サービス,12559,14,output/lp-screens/lp-06-mjs-co-jp-4503271623329904,output/lp-pdfs/lp-06-mjs-co-jp-4503271623329904.pdf,
2026-07-28,生成AI 中小企業,株式会社ミロク情報サービス,27732036313083047,2026/07/24,【中小企業・会計事務所の方必見！】 参加無料！MJSがお届けするバーチャル展示会 ☑8/26(水)「生成AI・DXが税務・会計業務にもたらすインパクト」講師：税経システム研究所 外波達也 氏 ☑9/2(水)「AI時代の価値創造経営」講師：中央大学大学院 遠山亮子 氏 今すぐ、無料で事前登録を。,,https://www.mjs.co.jp/seminar/feature/mve2026/?utm_source=facebook&utm_medium=cpm&utm_campaign=metaversefair_202607,https://www.facebook.com/ads/library/?id=27732036313083047,17,not_rendered_batch,,,,Meta Ad Libraryの広告情報。成果指標（CV/CPA）は広告ライブラリから取得不可。,complete,バーチャル展示会「MJS VIRTUAL EXHIBITION 2026」～経営課題の街を歩こう。解決策が、きっと見つかる。～ | セミナー特集・イベント | セミナー・研修会 | 株式会社ミロク情報サービス,12559,14,output/lp-screens/lp-06-mjs-co-jp-4503271623329904,output/lp-pdfs/lp-06-mjs-co-jp-4503271623329904.pdf,
2026-07-28,生成AI 中小企業,株式会社ミロク情報サービス,4503271623329904,2026/07/23,【中小企業・会計事務所の方必見！】 参加無料！MJSがお届けするバーチャル展示会 ☑8/26(水)「生成AI・DXが税務・会計業務にもたらすインパクト」講師：税経システム研究所 外波達也 氏 ☑9/2(水)「AI時代の価値創造経営」講師：中央大学大学院 遠山亮子 氏 今すぐ、無料で事前登録を。,Learn More,https://www.mjs.co.jp/seminar/feature/mve2026/?utm_source=facebook&utm_medium=cpm&utm_campaign=metaversefair_202607,https://www.facebook.com/ads/library/?id=4503271623329904,17,not_rendered_batch,,,,Meta Ad Libraryの広告情報。成果指標（CV/CPA）は広告ライブラリから取得不可。,complete,バーチャル展示会「MJS VIRTUAL EXHIBITION 2026」～経営課題の街を歩こう。解決策が、きっと見つかる。～ | セミナー特集・イベント | セミナー・研修会 | 株式会社ミロク情報サービス,12559,14,output/lp-screens/lp-06-mjs-co-jp-4503271623329904,output/lp-pdfs/lp-06-mjs-co-jp-4503271623329904.pdf,
