captured_at,search_term,advertiser,ad_library_id,started_running,creative_claim_summary,cta,landing_page_url,ad_library_url,notes
2026-07-28,AI コンサル,クオンツ総研ホールディングス,1328135136168969,2026-07-09,独自AIで成長戦略と出口戦略を支援。M&A・ITコンサル・DX支援をまとめて提示,詳しくはこちらから,https://quants-souken.co.jp/group_company,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=JP&q=AI%20%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB,複数の支援領域を一つの経営課題に束ねる型
2026-07-28,AI コンサル,RPA Robo-Pat DX,1329589688664626,2026-06-26,自動化できる業務を無料診断。250業務の診断シート、導入効果、1900社実績、継続率98%,1分で無料ダウンロード,https://fce-pat.co.jp/ad/download/automationworks,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=JP&q=AI%20%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB,診断という低摩擦オファーからリード獲得
2026-07-28,AI コンサル,志師塾 先生業ビジネススクール,2020193342231942,2026-04-04,AI時代に専門性を守るためのAI伴走士。複数領域のマップと無料リリースを提示,無料で内容を見る,https://ug.44jyuku.com/p/aib-seminar,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=JP&q=AI%20%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB,不安喚起と無料特典の組み合わせ
2026-07-28,AI研修 企業,インターネット・アカデミー,2288547545231743,2026-05-26,生成AI研修で業務効率80%アップ。データ分析・リサーチを30分から1分へ、助成金最大75%,詳しくはこちら,https://www.internetacademy.co.jp/lp/ai_claude_code.html?utm_source=meta&utm_medium=sns&utm_campaign=meta,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=JP&q=AI%20%E7%A0%94%E4%BF%AE%20%E4%BC%81%E6%A5%AD,数字と助成金で導入ハードルを下げる型
2026-07-28,AI研修 企業,グロービス経営大学院,1450044673482974,2026-02-25,AI時代のリーダー向けMBA。最新カリキュラムと先進性を訴求,体験クラスを見る,https://mba.globis.ac.jp/trial-class/lp/article-2-tmba/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=JP&q=AI%20%E7%A0%94%E4%BF%AE%20%E4%BC%81%E6%A5%AD,経営者・リーダー層に寄せた教育訴求
2026-07-28,AIコンサルティング,メンタルヘルステクノロジーズ,848897063757936,2024-10-20,AI時代の人的資本経営カンファレンス。経営・人事・労務・産業医を対象に専門テーマを提示,イベント詳細を見る,http://www.avenir-executive.co.jp/lp/ai-conference/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=JP&q=AI%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0,カンファレンス型の権威付け
2026-07-28,AIコンサルティング,PwC Japanグループ,1346352280971244,2026-07-16,生成AIとALMによるソフトウェア開発の変革を専門解説へ誘導,記事を読む,https://www.pwc.com/jp/ja/knowledge/column/engineering-chain-dx-generative-ai-and-alm.html?utm_source=meta&utm_medium=paid-social,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=JP&q=AI%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0,専門知識を記事LPへ送る型
2026-07-28,AIコンサルティング,アジアクエスト株式会社,1478298100973786,2026-04-20,要件定義前から企画・コンサル・設計・導入後運用まで伴走。上場企業の実績を提示,詳しくはこちら,https://www.asia-quest.jp/service/modernization/application-system/lp?utm_source=meta&utm_medium=snsad&utm_campaign=System_AT&utm_content=bannerB2,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=JP&q=AI%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0,導入前の曖昧さを受け止める型
2026-07-28,AI顧問,税理士法人gladz,,2026-05-14,相談しても変わらない不満を起点に、登録不要の1問体験と無料相談へ誘導,無料で相談してみる,https://www.gladplan.com/sajikagen/?utm_source=facebook&utm_medium=paid_social&utm_campaign=meta_sajikagen_01&utm_content=navy_vertical,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=JP&q=AI%E9%A1%A7%E5%95%8F,相談前の体験を置いて心理的負担を下げる型
2026-07-28,AI顧問,Human Academy Japanese Language School,,2026-01-19,外国人社員とのコミュニケーション課題をAI開発の実践会話で解決。無料体験を提示,無料体験を見る,https://hajl.athuman.com/hai_j/,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=JP&q=AI%E9%A1%A7%E5%95%8F,対象課題を狭く切った教育型
